device_group,dose_krad_si,vt_tangent_v_count,vt_tangent_v_mean,vt_tangent_v_std,vt_tangent_v_min,vt_tangent_v_max,delta_vt_v_count,delta_vt_v_mean,delta_vt_v_std,delta_vt_v_min,delta_vt_v_max,gm_max_s_count,gm_max_s_mean,gm_max_s_std,gm_max_s_min,gm_max_s_max,gm_change_pct_count,gm_change_pct_mean,gm_change_pct_std,gm_change_pct_min,gm_change_pct_max,ss_mv_dec_count,ss_mv_dec_mean,ss_mv_dec_std,ss_mv_dec_min,ss_mv_dec_max,abs_id_at_m10p0v_a_count,abs_id_at_m10p0v_a_mean,abs_id_at_m10p0v_a_std,abs_id_at_m10p0v_a_min,abs_id_at_m10p0v_a_max,abs_id_at_m5p0v_a_count,abs_id_at_m5p0v_a_mean,abs_id_at_m5p0v_a_std,abs_id_at_m5p0v_a_min,abs_id_at_m5p0v_a_max
S,0,3,2.072792202290073,0.014257863948697698,2.0569205441899654,2.0845167694208797,3,0.0,0.0,0.0,0.0,3,0.14813233577006255,0.005012331668153237,0.14372125079366777,0.15358290764947352,3,0.0,0.0,0.0,0.0,3,188.30308157549874,0.9871750813203809,187.56896509972458,189.42533474926503,3,1.955722620886982e-11,2.8769127967352043e-11,2.66700550533017e-12,5.277536740955209e-11,3,7.789250725901796e-12,4.7980497328728046e-12,4.83038609111475e-12,1.3325174297307298e-11
S,10,3,0.9669962372578458,0.009672795754973085,0.9579335530638677,0.977181232520496,3,-1.1057959650322269,0.011132400760443724,-1.1186428432317062,-1.0989869911260977,3,0.09891913178470968,0.004276547997968,0.09425111682457826,0.10264816257207748,3,-33.232470177592155,1.155858138648906,-34.420890227368595,-32.112188507727765,3,215.79847345359107,25.64429084780748,200.93224427188525,245.40986740792687,3,1.112625732287617e-11,1.1056526594591541e-11,3.21845328166148e-12,2.3760410305939698e-11,3,4.296701883177433e-12,1.818726083447827e-12,2.46577758211686e-12,6.10297923309133e-12
S,20,3,-0.0790073283999424,0.011341623797459106,-0.08668610506122987,-0.06598046369639621,3,-2.151799530690015,0.01682387676262605,-2.1712028744821095,-2.1412759606321665,3,0.08279895327312979,0.002092325130186315,0.08038297695236368,0.0840178163372961,3,-44.08697402690666,1.1995508618366282,-45.29481332059928,-42.895887069498805,3,227.316222662296,26.157323274545355,211.54864035358256,257.5101700687396,3,6.325282890055443e-12,1.3150175393294846e-12,5.01026997667964e-12,7.64030505528979e-12,3,2.8295514079938296e-12,3.1821929804347186e-13,2.5075219678427597e-12,3.14381853883106e-12
S,30,3,-1.104457555218638,0.01866635675812847,-1.1214964682652688,-1.084506149768576,3,-3.17724975750871,0.024950492216373066,-3.2060132376861485,-3.161445443027949,3,0.07333638356497214,0.001352562591631066,0.07177718289931329,0.07419405775665627,3,-50.47170897426537,1.0741622837371627,-51.6912012591978,-49.66586709740868,3,257.46987509780394,53.92590968976933,221.65611552543314,319.49063824102865,3,1.5848341157938732e-12,1.195445485282118e-12,3.3584246494911e-13,2.7183533202190798e-12,3,2.55814813776567e-12,1.1165164221526195e-12,1.2690681838733998e-12,3.22039617195458e-12
S,40,3,-2.1059896455007574,0.024001928748865805,-2.1299894076555814,-2.08198555074441,3,-4.17878184779083,0.031002421847212323,-4.214506177076461,-4.158924844003783,3,0.06738922940397513,0.0006805081808087703,0.06660471085223246,0.06782008097993802,3,-54.48055870262212,1.227718810239207,-55.8916435321264,-53.65701976261467,3,238.38607455763494,7.541428533645098,229.9664023938126,244.5207443514269,3,1.8086532271865966e-11,3.718532308328272e-12,1.49333323484768e-11,2.2187113257743398e-11,3,1.8454182626470567e-11,2.3094281298325773e-12,1.67574010223603e-11,2.1084189949505097e-11
S,50,3,-3.0831630974564965,0.03216334838258817,-3.1175710157097196,-3.0538532575156125,3,-5.155955299746569,0.0400068743388067,-5.202087785130599,-5.130792550774986,3,0.06265666869091567,0.0009102450965175631,0.061611608062756784,0.06327631928268412,3,-57.67986705229578,1.0820731195229047,-58.92636772362714,-56.98205604823245,3,280.4371597696408,25.70438280680535,264.3868685017602,310.08420190090385,3,1.0569739528065709e-10,2.122188435968332e-11,8.178666077718329e-11,1.22297755256184e-10,3,3.23470151405066e-08,1.66558813174675e-08,2.25090293071162e-08,5.15778530996158e-08
S,60,3,-4.046725457916952,0.03517993873647233,-4.087003058351772,-4.022013445818195,3,-6.119517660207024,0.045362109056308254,-6.171519827772651,-6.088080413770854,3,0.05882822123965544,0.0013339454461074195,0.057576823235579166,0.060231681599525244,3,-60.2454951822167,1.9628566471911275,-62.51091731705697,-59.051930761115926,3,321.92867905334805,30.744482079159805,288.3421023563593,348.6808618007578,3,4.6387936084949903e-10,1.1164635852977904e-10,3.48183648579692e-10,5.70979485914336e-10,3,5.924160238161374e-05,1.6621944485592735e-05,4.86861063109245e-05,7.84018993726932e-05
T,0,3,3.1425923367340602,0.03211969177845358,3.1119249852202335,3.1759900586403944,3,0.0,0.0,0.0,0.0,3,0.15004935491216276,0.016136005219057854,0.13142392209563353,0.15979865318809855,3,0.0,0.0,0.0,0.0,3,225.37559853930944,2.7943164871240413,222.16833383702647,227.28467233709898,3,1.592365128644247e-12,1.3429815054528148e-12,3.33927330231631e-13,3.00634517280685e-12,3,5.6646631829693165e-12,3.3675782502826767e-12,1.86103910060353e-12,8.266415330027139e-12
T,10,3,1.2052227513697926,0.06754823715992181,1.1484875175157487,1.2799433538862914,3,-1.9373695853642683,0.04891287370653946,-1.9913744488258054,-1.896046704754103,3,0.10578993309248207,0.00042428011916860627,0.10546613946726002,0.10627023512760192,3,-28.919769968514814,8.05076747664862,-33.637996126095324,-19.623898755876624,3,603.1761416561177,577.340777380985,267.1064468772022,1269.8243095809228,3,5.223062723066126e-12,1.8765411737828618e-12,3.65354968501208e-12,7.30160376605227e-12,3,1.8288287551015966e-11,3.716252920585282e-12,1.4470535880661799e-11,2.1893958868091097e-11
T,20,3,-0.48400427450306305,0.12551468164434193,-0.6082629249908025,-0.3572701805303691,3,-3.6265966112371237,0.11017164991894186,-3.7481248913323566,-3.5332602391707635,3,0.09101805511264462,0.001165999480417787,0.08972102494684675,0.0919793630184988,3,-38.895919292445875,6.2145759178766635,-42.831947860626805,-31.7315877382207,3,1081.190531693035,623.7534367867729,360.9793892102685,1447.6429593265188,3,3.597660132766597e-11,3.659173233056913e-12,3.17770532110018e-11,3.84793585883614e-11,3,3.5678206685337434e-10,7.111487140658202e-11,2.76156514322778e-10,4.10584288790261e-10
T,30,3,-2.12130177753529,0.1833322215377199,-2.31178322791516,-1.9460715764760799,3,-5.263894114269351,0.16952203113706182,-5.451645194256715,-5.1220616351164745,3,0.07881821628725459,0.0013404415152148735,0.07729506719960971,0.07981811015114254,3,-47.10398298736418,5.132723260453905,-50.34909873888682,-41.186455276107004,3,1541.6438017871344,23.011729191496944,1515.4228555154266,1558.4806891303667,3,2.1510330553790397e-11,2.4995349788486775e-12,1.9304502441031e-11,2.4225205175199e-11,3,4.523100856819913e-09,8.560703698976703e-10,3.7044713963041402e-09,5.4122497594733e-09
T,40,3,-3.7220783834259206,0.24387702962990637,-3.9758861723674745,-3.4895231269877938,3,-6.864670720159981,0.22956400852747064,-7.115748138709028,-6.665513185628188,3,0.06987768615160032,0.0014579231477950343,0.06841441304333501,0.07133019978460792,3,-53.108534713347616,4.509513043202455,-56.26468419318119,-47.9437137832854,3,1627.9988271023028,64.61282599758007,1575.7531922867915,1700.2476948009378,3,1.1553922633448603e-10,5.2273475817296826e-11,6.392833484802909e-11,1.6845100314633002e-10,3,4.1462178160145386e-05,4.9346818749274e-05,5.29475710209226e-06,9.7677853773348e-05
T,50,3,-5.284103370582318,0.296692960367392,-5.601388125399171,-5.013548076125976,3,-8.426695707316378,0.2838824065231095,-8.741250091740724,-8.18953813476637,3,0.06270313073320234,0.0012535378568921574,0.06172639718423517,0.06411661957498477,3,-57.90775269747973,4.27787972504143,-61.03448045516784,-53.032601523398014,3,1639.1943569708594,30.345880776495406,1604.3436831248328,1659.773323463064,3,7.862295536842354e-10,3.6215455872874435e-10,4.06426697852069e-10,1.12768383520034e-09,3,0.020931582897901497,0.014594492150039695,0.0087870229035615,0.0371222347021103
T,60,3,-6.825993931669694,0.34972084010731824,-7.1992823717927665,-6.505946295766467,3,-9.968586268403755,0.33654274233408843,-10.339144338134322,-9.681936354406862,3,0.057774938691791865,0.0013241621056870692,0.05694992665685239,0.059302308664545555,3,-61.2068619760802,4.099030707918156,-64.36144765887558,-56.57367407400342,3,1673.9525600481563,35.36561802945082,1633.393629937909,1698.3498922501271,3,7.601442142402004e-09,3.770571457310178e-09,3.79756315282975e-09,1.13377991439734e-08,3,0.076208325723807,0.003188712242772244,0.0733237639069557,0.0796323642134666
